Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0018184545967313977    4340                     5.867117999022636        5.741238144836009        0.04521929715556973      0.9173450438516931       0                        0                        0.9999526999999999       0.049999999999999996     0.09997277563777758      0.1296854236861691       0.01                     0.4626385673764162       2.5e-06                  0.60986328125            -4.8265786               4.1946483                
200                      0.3694705910152859       871703                   11.78568797907353        23.127347078870677       0.12421912043039911      0.8484941424938435       0                        0                        0.9891105125             0.05                     0.0939239354186103       0.002434766589544779     0.01                     0.29098983231233433      2.5e-06                  0.09423828125            -0.121389695             1.1079125                
400                      0.7091721415519714       1744823                  11.602160873168106       27.791497446882346       0.12658439580314423      0.840057200630322        0                        0                        0.9781965125000001       0.05000000000000001      0.08820460942980982      0.0019984014985539034    0.01                     0.29347000923007727      2.5e-06                  0.091064453125           -0.13761292              0.6662035                
600                      1.039783843225903        2617942                  12.380429400119073       26.33170163615275        0.12658439580314423      0.840057200630322        0                        0                        0.967282525              0.05                     0.08283355728026263      0.001939024225407593     0.01                     0.29447156755486503      2.5e-06                  0.123046875              -0.052689455             0.57866645               
800                      1.3691658402151532       3491332                  12.69009768496447        34.742351747408236       0.12658439580314423      0.840057200630322        0                        0                        0.95636515               0.05                     0.07778804826613707      0.002117905878549209     0.01                     0.30221611622255296      2.5e-06                  0.099609375              -0.098921455             0.64373165               
1000                     1.6914587314261331       4369347                  12.245678554577994       39.53410150489526        0.12658439580314423      0.840057200630322        0                        0                        0.9453899625             0.05                     0.07302556171235335      0.0029612623800403526    0.01                     0.28253059537382796      2.5e-06                  0.1259765625             -0.3273449               0.9461031                
1200                     2.015070482691129        5254160                  11.390681293378567       37.14633740575617        0.12658439580314423      0.840057200630322        0                        0                        0.9343298                0.05                     0.06852112740976392      0.0036099355518217635    0.01                     0.2896358380676247       2.5e-06                  0.13623046875            0.041092124              0.9481422                
1400                     2.360460415350066        6149851                  12.162088294610752       61.28579086164693        0.12658439580314423      0.840057200630322        0                        0                        0.9231336625             0.05                     0.064244234143214        0.004832968675827942     0.01                     0.28146986017236486      2.5e-06                  0.16650390625            0.110354036              0.5234064                
1600                     2.7145945483446123       7040326                  12.747255167134856       76.46686315095428        0.12658439580314423      0.840057200630322        0                        0                        0.912003125              0.05                     0.06025704255837326      0.0027353463177632875    0.01                     0.28068766521755606      2.5e-06                  0.182861328125           0.063785605              0.59310365               
1800                     3.0736257352431617       7932398                  13.876833429601366       123.91182954261969       0.12658439580314423      0.840057200630322        0                        0                        0.900848825              0.05                     0.05650957779144824      0.0019950131995756237    0.01                     0.28547669685212895      2.5e-06                  0.158203125              -0.12793599              0.7447951                
