Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0010052169031567043    4435                     4.65228670363529         4.400480278180712        0.18398216108394191      1.2857570177668427       0                        0                        0.9999514625             0.05                     0.09997206347198713      0.11479307133413386      0.01                     0.45621474587824196      2.5e-06                  0.609619140625           -6.8125386               3.7916508                
200                      0.1625764133532842       868535                   8.972390751115162        16.25653940773058        0.2084249214962681       1.2641633020267777       0                        0                        0.9891501125             0.05                     0.09394534837662637      0.003637997608808184     0.01                     0.28920724807197556      2.5e-06                  0.11741727941176469      0.17216662               0.69810486               
400                      0.3216178525156445       1735993                  10.39011580226597        23.06763039200539        0.21684005546015728      1.2742749750347964       0                        0                        0.9783068874999999       0.05                     0.08826066976256569      0.003977686122679562     0.01                     0.2957461161319824       2.5e-06                  0.14659926470588236      0.01619046               0.8012886                
600                      0.47991974108748964      2603294                  11.433290035825951       37.79004897418955        0.21684005546015728      1.2742749750347964       0                        0                        0.967465625              0.05                     0.08292091056679324      0.003969037417164145     0.01                     0.28915851697092876      2.5e-06                  0.15234375               0.004070505              0.98715085               
800                      0.637598316139645        3469202                  11.618193975768683       40.310771843028434       0.21684005546015728      1.2742749750347964       0                        0                        0.956641775              0.05                     0.07791201519050325      0.002968342407257296     0.01                     0.2890386050567031       2.5e-06                  0.144287109375           -0.088309996             0.785017                 
1000                     0.7956771119435628       4330701                  12.001162355862093       47.75721881374439        0.21684005546015728      1.2742749750347964       0                        0                        0.9458730375             0.05                     0.07322891404092904      0.0032586053607701615    0.01                     0.28752158727729693      2.5e-06                  0.163330078125           -0.012449996             0.91466427               
1200                     0.9542915515104929       5183158                  12.031045057031065       60.19200908449673        0.21684005546015728      1.2742749750347964       0                        0                        0.935217325              0.05                     0.06887209795563003      0.002303196724483314     0.01                     0.28606891323579475      2.5e-06                  0.169189453125           0.06885576               0.54584897               
1400                     1.1127940159373813       6024214                  12.347108491137305       55.314652005650494       0.21684005546015728      1.2742749750347964       0                        0                        0.924704125              0.05                     0.06482765504107244      0.0020981502515269312    0.01                     0.2868433070834726       2.5e-06                  0.155029296875           0.15415408               0.42175895               
1600                     1.2777879746754963       6901961                  13.41359521144296        68.92931576528892        0.21684005546015728      1.2742749750347964       0                        0                        0.9137324625             0.05                     0.060859889044850866     0.0023325107480900442    0.01                     0.2851590023492463       2.5e-06                  0.161376953125           -0.10705756              0.63470376               
1800                     1.44330239991347         7776231                  13.95676419371042        86.84057358596432        0.21684005546015728      1.2742749750347964       0                        0                        0.9028047124999999       0.05                     0.05714941395720656      0.002292925845775993     0.01                     0.27626570045728893      2.5e-06                  0.16222426470588236      0.027750263              0.79410446               
2000                     1.6092232768403159       8650799                  14.539538418243872       96.4321443253242         0.21684005546015728      1.2742749750347964       0                        0                        0.8918730125             0.05                     0.053663937021450885     0.0027766519309379337    0.01                     0.3050379570683136       2.5e-06                  0.21162683823529413      -0.20051174              0.8747884                
2200                     1.774330677655008        9513030                  15.427497030624497       146.94705820125318       0.21684005546015728      1.2742749750347964       0                        0                        0.881095525              0.05                     0.05043578822542544      0.001987798522296704     0.01                     0.28348707878852586      2.5e-06                  0.13166360294117646      -0.0023815776            0.5212408                
2400                     1.9447900860177145       10396692                 16.85294188670659        220.53560110801303       0.21684005546015728      1.2742749750347964       0                        0                        0.87005055               0.05                     0.04732889608975223      0.0029191095767172933    0.01                     0.2866053081062787       2.5e-06                  0.11534926470588236      -0.11688401              0.7370038                
2600                     2.118109373251597        11288753                 19.269974197122124       276.1796875055477        0.21684005546015728      1.2742749750347964       0                        0                        0.8588957875000001       0.05000000000000001      0.0443853315933579       0.0025124953266413286    0.01                     0.2852082516765222       2.5e-06                  0.191650390625           -0.07673675              0.5523629                
2800                     2.289101741247707        12169761                 21.296475859034935       269.6055034539922        0.21684005546015728      1.2742749750347964       0                        0                        0.84788415               0.05                     0.041659147170620685     0.0037683174887206405    0.01                     0.2963181120576337       2.5e-06                  0.18017578125            0.33141497               0.50442046               
3000                     2.4632921661933262       13057260                 23.707221043465516       258.19855745899076       0.21684005546015728      1.2742749750347964       0                        0                        0.8367908500000001       0.05000000000000001      0.03908203101059314      0.0037109438264906203    0.01                     0.28812651307089254      2.5e-06                  0.162109375              -0.42714974              0.64539266               
3200                     2.637436225745413        13942308                 27.808729089951324       273.7887895955289        0.21684005546015728      1.2742749750347964       0                        0                        0.82572875               0.05                     0.03667092585351057      0.0042474956969860665    0.01                     0.294814410564654        2.5e-06                  0.16934742647058826      -0.16372593              0.9932609                
3400                     2.8137665161821577       14830701                 31.54463132807126        262.541323746089         0.21684005546015728      1.2742749750347964       0                        0                        0.8146243                0.05                     0.034400182769419224     0.003005743246376369     0.01                     0.2920678942464292       2.5e-06                  0.142578125              -0.050183713             0.62478495               
3600                     2.9901951791180506       15713434                 36.34873984992041        284.26719824245066       0.21684005546015728      1.2742749750347964       0                        0                        0.8035839874999999       0.05                     0.032281965478210106     0.0041241563599214714    0.01                     0.28942221286706626      2.5e-06                  0.13671875               -0.0427735               0.75345606               
3800                     3.1671699639823703       16597410                 42.7834153741924         287.5876908953483        0.21684005546015728      1.2742749750347964       0                        0                        0.792544175              0.05                     0.03029426621374815      0.0027589759455096145    0.01                     0.30293135487131384      2.5e-06                  0.1338404605263158       -0.13855696              0.6846827                
4000                     3.3447672977050145       17481068                 50.52393799435237        287.20642717999175       0.21684005546015728      1.2742749750347964       0                        0                        0.7815002                0.05                     0.028428274481283555     0.004128159551756279     0.01                     0.28375743789707913      2.5e-06                  0.18359375               -0.122366264             1.3757154                
4200                     3.5209011658032736       18356860                 57.78942842630347        289.2266253522315        0.21684005546015728      1.2742749750347964       0                        0                        0.7705552125             0.05                     0.026692425007821676     0.0041866000924528635    0.01                     0.2860533732455224       2.5e-06                  0.168359375              0.13553913               0.73301667               
4400                     3.6981814866595797       19234778                 67.27812069741603        335.93491966469026       0.21684005546015728      1.2742749750347964       0                        0                        0.759583875              0.05                     0.02505876639345364      0.002060738452807224     0.01                     0.28788427936120164      2.5e-06                  0.1955295138888889       -0.084955245             0.72497773               
4600                     3.874447876877255        20105103                 73.66591776050521        310.6616851528108        0.21684005546015728      1.2742749750347964       0                        0                        0.7487037625             0.05                     0.023537449771554482     0.0037576088265268482    0.01                     0.2864361093379557       2.5e-06                  0.2109375                0.065467864              0.63618875               
4800                     4.052811772955788        20984050                 85.84908110232399        409.89628755686476       0.21684005546015728      1.2742749750347964       0                        0                        0.7377007125             0.05                     0.022092851899365076     0.003720997948488837     0.01                     0.28657220824457263      2.5e-06                  0.22794117647058826      0.47920525               0.4188612                
5000                     4.230625976390309        21861229                 102.9049880720533        334.5419481793726        0.21684005546015728      1.2742749750347964       0                        0                        0.7267616374999999       0.05                     0.020744553601171143     0.0041009832714027855    0.01                     0.2906816805609398       2.5e-06                  0.19813368055555555      0.26249328               0.75015855               
5200                     4.4118035495943495       22752932                 116.69013425500391       517.3109000622283        0.21684005546015728      1.2742749750347964       0                        0                        0.715619475              0.05                     0.019455781825477636     0.0043869634765932065    0.01                     0.28770171766657204      2.5e-06                  0.1793154761904762       -0.098673105             0.806745                 
5400                     4.592940658860736        23642839                 133.8877226526397        514.8387052829494        0.21684005546015728      1.2742749750347964       0                        0                        0.704500325              0.05                     0.0182494933753636       0.0037568358484350024    0.01                     0.2867792589822784       2.5e-06                  0.2216796875             0.5988691                0.49200675               
5600                     4.774702731172244        24536714                 156.3795682140345        517.3198454040012        0.21684005546015728      1.2742749750347964       0                        0                        0.693334675              0.05                     0.017113415212362756     0.0036186570780825738    0.01                     0.29446108602652593      2.5e-06                  0.24748883928571427      0.051876586              0.65505314               
5800                     4.958469233314196        25437405                 167.23869427076215       536.4777428878837        0.21684005546015728      1.2742749750347964       0                        0                        0.682034225              0.05                     0.016035612850966524     0.0035291153270758085    0.01                     0.2827676528078668       2.5e-06                  0.2578125                0.18625721               0.64171803               
