Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.000961162977748447     4439                     4.142979646957517        4.522714409485166        0.14042800793070273      1.2155744806442577       0                        0                        0.9999515375             0.05                     0.09997210663340578      0.08657601933373371      0.01                     0.33460218444815837      2.5e-06                  0.574951171875           -5.7559605               4.064132                 
200                      0.12712578846348657      869056                   8.785854004547051        15.207736027767588       0.16343758818903273      1.2581871004721161       0                        0                        0.9891435875             0.05                     0.09394181976924389      0.00410264348551316      0.01                     0.23274786868954406      2.5e-06                  0.14039522058823528      -0.03407923              0.85912836               
400                      0.24921936492125193      1736410                  10.164697637614054       20.524924600070744       0.1823215257046759       1.269058271912934        0                        0                        0.978301675              0.05                     0.08825802149129919      0.003451937210002143     0.01                     0.23137453495291993      2.5e-06                  0.15380859375            -0.04165961              0.84081715               
600                      0.3690232680903541       2603987                  10.92740917323048        27.017335137583046       0.1823215257046759       1.269058271912934        0                        0                        0.9674569625             0.05                     0.0829167757889592       0.0041409391596971545    0.01                     0.21933120346682913      2.5e-06                  0.17532169117647056      0.016010078              0.7309202                
800                      0.48901497304439545      3470227                  11.090844717418138       36.4157008956865         0.1823215257046759       1.269058271912934        0                        0                        0.9566289625             0.05                     0.07790626902675717      0.003582375607720678     0.01                     0.2278536225494463       2.5e-06                  0.180908203125           -0.36528346              1.2011312                
1000                     0.6085028706656562       4332945                  11.709456982140507       36.841973957078224       0.1823215257046759       1.269058271912934        0                        0                        0.9458449875             0.05                     0.07321709081211086      0.0023681330992531002    0.01                     0.22316588662215509      2.5e-06                  0.125244140625           -0.053649552             0.51700187               
1200                     0.7286527548895941       5190225                  12.032047457034302       37.65263573626632        0.1823215257046759       1.269058271912934        0                        0                        0.9351289875             0.05                     0.06883708460305753      0.0023246867417583417    0.01                     0.24015910233720206      2.5e-06                  0.189208984375           0.10983468               0.5429348                
1400                     0.8495492192109426       6036914                  12.126195638921907       42.876781398435355       0.1823215257046759       1.269058271912934        0                        0                        0.924545375              0.05                     0.0647684400972706       0.0027828829354348272    0.01                     0.2269880679959897       2.5e-06                  0.21728515625            0.04309396               0.5646168                
1600                     0.9744429780377282       6913126                  12.8692157896166         51.705211267935525       0.1823215257046759       1.269058271912934        0                        0                        0.913593125              0.05                     0.06081109343979634      0.0028460579986813173    0.01                     0.22049842798151076      2.5e-06                  0.159423828125           0.061715752              0.570027                 
1800                     1.1023177412483427       7807488                  13.765511322289775       52.595508273752955       0.1823215257046759       1.269058271912934        0                        0                        0.902414                 0.05                     0.05702102239437429      0.0027938525483263863    0.01                     0.22085118282805472      2.5e-06                  0.13074448529411764      -0.050818086             0.49696177               
2000                     1.2268664934237798       8681259                  14.400052586478568       55.89521292355297        0.1823215257046759       1.269058271912934        0                        0                        0.8914922625             0.05                     0.053546446646425404     0.003698896671480992     0.01                     0.22662906154223225      2.5e-06                  0.16383272058823528      -0.06511108              0.7595126                
2200                     1.3517410411437352       9544825                  15.493195807288124       134.36679365289882       0.1823215257046759       1.269058271912934        0                        0                        0.8806980875             0.05                     0.05032053140089886      0.002895514731683173     0.01                     0.22175356241710045      2.5e-06                  0.16153492647058826      0.0030261136             0.7160895                
2400                     1.481019644803471        10428988                 16.139378769378183       273.0423097034827        0.1823215257046759       1.269058271912934        0                        0                        0.8696468375             0.05                     0.04721903352688632      0.004552392237040776     0.01                     0.2264846461441587       2.5e-06                  0.19761029411764708      0.06657948               0.82057214               
2600                     1.6112051092253792       11315400                 18.96814996168851        271.8958128130178        0.1823215257046759       1.269058271912934        0                        0                        0.8585630249999999       0.05                     0.04430039131931377      0.00462073644598604      0.01                     0.22672477681771852      2.5e-06                  0.16552734375            0.06668247               0.8187486                
2800                     1.7410258227586746       12199285                 19.64405856814468        281.83271653993734       0.1823215257046759       1.269058271912934        0                        0                        0.8475147                0.05                     0.04157064375890807      0.003856603011399784     0.01                     0.2144317363272421       2.5e-06                  0.177490234375           0.14573248               0.66970253               
3000                     1.8727704789241155       13088601                 23.464262399257564       266.48742336691066       0.1823215257046759       1.269058271912934        0                        0                        0.8363990875             0.05                     0.0389939938405479       0.003343723657053488     0.01                     0.23707724365522154      2.5e-06                  0.159423828125           0.1347112                0.6381694                
3200                     2.006349247031742        13977750                 25.38665446693216        279.8527577500504        0.1823215257046759       1.269058271912934        0                        0                        0.825285725              0.05                     0.036577524720811355     0.00411038926562041      0.01                     0.2209305870072807       2.5e-06                  0.12890625               0.18555874               0.66556454               
3400                     2.1405859197510613       14869518                 28.998123257304023       280.8482267024327        0.1823215257046759       1.269058271912934        0                        0                        0.8141396375000001       0.05000000000000001      0.03430434202501445      0.006368930608647027     0.01                     0.22389102461473906      2.5e-06                  0.1640625                0.03335782               0.85624164               
3600                     2.274822523328993        15757865                 32.528837594327854       282.8499691707834        0.1823215257046759       1.269058271912934        0                        0                        0.8030277                0.05                     0.032178755949816375     0.005236461744061671     0.01                     0.23247175876167603      2.5e-06                  0.204833984375           0.06408172               0.70561695               
